#{"t_start": 1744544899.9292016, "env_id": "None"}
r,l,t
-32848.9,6981,370.908579
-18288.7,4490,770.346797
-28273.9,6993,1475.237555
-20009.5,4768,1949.960783
-19320.0,4629,2386.264795
5.0,5636,226.298002
-18980.0,4582,249.383318
-23200.0,5432,277.683142
-18145.0,4414,299.589711
-27010.0,6714,332.360168
-26305.0,6407,416.124577
-24990.0,5886,445.390066
-25930.0,6131,480.124678
-17235.0,4239,504.538574
-25680.0,6055,538.87065
-26670.2,6615,634.305806
-20215.2,4828,660.933876
-21465.2,5079,688.840457
-20700.2,4929,715.129323
-14955.2,3781,735.093717
-27050.2,6726,829.158015
-28225.2,7149,868.094876
-18500.2,4487,892.653483
-22610.2,5322,924.809675
-26315.2,6417,962.99282
-25633.0,6030,1062.807434
-15180.9,3825,1086.393004
-23328.0,5465,1119.622222
-23763.0,5544,1152.287381
-26018.0,6283,1189.691142
-21795.0,5154,1293.659815
-27175.8,6820,1334.501136
-26295.6,6380,1374.826248
-24065.4,5611,1408.914889
-26350.6,6479,1447.630753
-20548.6,4886,1547.407815
-27070.0,6756,1587.513165
-28020.0,7012,1629.872202
-25284.8,5940,1665.086994
-20898.8,4965,1694.01502
-25658.9,6038,1797.556834
-15713.4,3919,1821.806013
-23973.7,5579,1856.503044
-26569.2,6572,1892.967713
-27469.2,6863,1930.971471
-25961.8,6201,2025.833823
-21391.5,5056,2053.595038
-14477.6,3678,2073.817561
-24921.7,5863,2106.126914
-17114.6,4203,2129.337865
-19659.4,4710,2220.755487
-26151.8,6270,2271.807858
-23146.2,5405,2306.888634
-18463.3,4470,2335.469414
-26837.0,6669,2376.520826
-26134.5,6272,2480.811455
